id;no_cia;descripcion_1;descripcion_2;estado;orden;texto_1;texto_2
1;29715;soft breastplate;zowie whether rapidly;intelligent per;13937;circular lest briskly;enormously
2;16307;following wordy scoff;perp;dense dearly calmly;9146;underachieve pine;catalyst
3;3065;beyond cripple oof;cuddly at dock;gradient beside equally;14367;beneath range fess;on finding
4;11186;acidly pacemaker;rebuff necessary qua;wherever boo;13039;provided;uh-huh appropriate why
5;18730;tense;now where on;morbidity founder splash;17799;square apud lustrous;amongst ah
6;8713;including second-hand;past;barring deliberately yum;10483;iterate;ick
7;12118;hm deny;zealous abaft;aboard;14537;courageous how;ack save fooey
8;2706;fellow;norm far-flung though;bookend nervously;7093;veto quaver;whoever
9;1494;pigsty nervously;scruple blah crooked;tremendously since;18756;playfully;covenant
10;697;who;yuck amongst knowledgeably;singing which hmph;10655;preregister;astonishing configuration
