id;no_cia;dni;nombre;direccion;email;telefono;path_image;activa
1;14987;aside parched daddy;than alliance;frankly bell;"xe-.iw@w1ki.qa";phooey;but nor;false
2;18715;needily equally psst;pressure;smoothly;"qy7o@zn-.xho";retrospectivity bah;misread;true
3;15585;huzzah rationalise patroller;reword at;aw;"+@iu.hsxx";suspiciously;close;false
4;5375;jagged;phooey likely twine;inscribe;"_8.%@2pm.nh";boring;wetly whoever;true
5;12276;netsuke distinction;analogy super;crackle ah;"ei__u6@xkxko.hf";ha phew;midwife;false
6;32310;drat carefully ouch;generally;stigmatize geez;"+@g3kz.oxi";scrap and consequently;cash as athwart;false
7;17272;furthermore next;cassava nearly fill;oil optimistically;"nj6m@bj.fme";ack phrase raw;mooch;true
8;1796;pace;airbrush even;rebuke;"pqbka+@ix3r.suk";a gee;impressionable zesty than;false
9;19245;pry shakily SUV;gymnast;overcooked phew till;"7ait8@u.zcz";noted collectivization rare;quizzically;false
10;11369;cauliflower even;excellent sleet;license;"-@ihb.qd";instead;after goodwill drive;true
