id;no_cia;cantidad;precio_unitario;subtotal;descuento;impuesto;total
1;22025;21426;14027.07;17825.92;23325.92;95.4;29585.43
2;9714;3189;2157.61;30404.35;8274.93;13258.09;11027.63
3;12934;26249;5150.62;27102.59;22169.49;24108.72;8763.21
4;7112;5342;5697.98;28529.91;19434.04;13864.23;21861.4
5;1941;2934;26785.05;26052.71;19154.57;3704.86;22619.04
6;31839;17228;3765.23;17269.66;27471.56;19180.47;20890.47
7;11397;7695;26907.33;15407.64;27273.71;18984.46;7332.69
8;32307;19563;26309.86;30554.63;17007.86;32117.34;12877.15
9;6167;6230;3010.93;27484.19;8286.42;11782.39;15317.61
10;32090;11193;19960.83;26052.15;17333.77;19984.45;23357.17
