id;no_cia;descripcion;telefono;latitud;longitud
1;8366;likable follower avow;consequently yuck;8055.34;29374.64
2;12324;violent metabolite;nutritious;12703.04;10927.41
3;30746;charter;like;12216.13;9862.84
4;342;conjecture whereas private;toward boulevard;21740.41;6991.26
5;23262;psst;incidentally defiantly cellar;12803.24;3981.62
6;11710;translation excellent old;bind up elver;19355.63;20725.22
7;20607;serenade seldom aha;cautiously;132.7;29743.05
8;32081;the colonialism;bonnet cleverly grubby;9376.77;28293.65
9;18765;entice;decent or;18338.46;29240.76
10;26328;switchboard;judgementally and;1255.26;20681.58
