id;no_cia;tipo;observacion;fecha_creacion;fecha_vencimiento;path
1;25915;rekindle grandiose;absent drat meanwhile;2026-02-05T10:28:06;2026-02-05T10:42:06;mobility
2;5116;consequently providence old-fashioned;approximate blindly those;2026-02-05T12:45:37;2026-02-04T23:01:57;utterly daintily eek
3;3043;attend affectionate solemnly;to slip spork;2026-02-05T07:58:56;2026-02-05T04:19:50;an extremely lest
4;22091;given;why;2026-02-05T16:24:13;2026-02-05T21:40:25;camouflage damaged whoever
5;5451;terraform;smooth wholly blah;2026-02-05T09:20:46;2026-02-05T13:24:12;far rapidly
6;21928;yowza barring lest;yum;2026-02-05T18:45:21;2026-02-05T07:32:27;rationale enthusiastically
7;23985;rewrite;affectionate pale about;2026-02-05T01:24:04;2026-02-04T23:59:32;huzzah
8;23779;powerful knottily;for behind;2026-02-05T20:37:24;2026-02-05T18:06:52;ferociously prickly despite
9;17885;whether cornet;for;2026-02-05T15:20:53;2026-02-05T00:10:20;helpfully furthermore
10;13020;unless terrible reborn;straight boohoo;2026-02-05T06:04:52;2026-02-05T01:39:50;oof middle amongst
