id;no_cia;nombre;descripcion;precio;stock;path_imagen;codigo
1;3789;furthermore for;quiet;5134.46;31955;ah zowie likewise;tragic
2;12515;so scotch ouch;marvelous;7071;2449;piglet ew helpfully;see closely
3;9038;generously scamper;preregister less;7979.26;18916;midst;curl apud
4;13262;internalize er insolence;youthfully past airbus;13093.16;28651;boldly overdub against;even mmm verbally
5;9371;politely ick;whoa;6139.71;549;see frenetically;ouch reword psst
6;16165;topsail;shadowbox;17832.74;23626;gadzooks eek govern;as nor worthwhile
7;19394;past even;phew sick if;26049.14;11080;um;diligently
8;12931;below;phew;7199.51;8488;profitable antique;now huzzah trench
9;24547;serialize kiddingly;jumbo politely after;13582.49;19377;and abscond alongside;fleck lined untidy
10;20556;scented newsstand;mechanically;24296.28;16321;slimy overspend;er international
